Password,Has Lowercase,Has Uppercase,Has Special Character,Length,Strength,Has Number,Character Variety Score,Is Long Password,Estimated Score
<%r?.,True,False,True,5,Weak,False,2,False,35
l(d_l,True,False,True,5,Weak,False,2,False,35
"|+Z)kDTRYo:q{""(",True,True,True,15,Strong,False,3,True,90
gwcNB[oS5!n%OPJ,True,True,True,15,Strong,True,4,True,100
^vXjCCP6,True,True,True,8,Strong,True,4,False,64
"W,@/m#r4={m",True,True,True,11,Strong,True,4,False,73
"p1{`GCY""7.~3Mie",True,True,True,15,Strong,True,4,True,100
A><NafUmWA4F7,True,True,True,13,Strong,True,4,True,94
Vzma0[^FV,True,True,True,9,Strong,True,4,False,67
p3=x;>'=%<`^jx,True,False,True,14,Medium,True,3,True,87
c?m|,True,False,True,4,Weak,False,2,False,32
"""lf`g(U",True,True,True,7,Medium,False,3,False,51
"U,m",True,True,True,3,Weak,False,3,False,39
WsW2:k,True,True,True,6,Medium,True,4,False,58
$@!,False,False,True,3,Weak,False,1,False,19
&B?(ED;FOX~IM,False,True,True,13,Medium,False,2,True,74
VBH2|,False,True,True,5,Weak,True,3,False,45
/LKL/P$)P,False,True,True,9,Medium,False,2,False,47
el\s@8i5$9aGt$,True,True,True,14,Strong,True,4,True,97
<voV,True,True,True,4,Weak,False,3,False,42
i2&{}>CKJYS{}KL(,True,True,True,16,Strong,True,4,True,100
XG`r,True,True,True,4,Weak,False,3,False,42
",g^@b~uf6#VQl"".{",True,True,True,16,Strong,True,4,True,100
F.?Mu@7[85$[,True,True,True,12,Strong,True,4,True,91
bg+/4K+Wv,True,True,True,9,Strong,True,4,False,67
1RtZAD,True,True,False,6,Medium,True,3,False,48
PuD6aflf;Q?n,True,True,True,12,Strong,True,4,True,91
zMb2yKpg/vv4>-=+,True,True,True,16,Strong,True,4,True,100
"j#8R,1y7",True,True,True,8,Strong,True,4,False,64
)*?3yD%aRgga{.XZ,True,True,True,16,Strong,True,4,True,100
?kPQ@{,True,True,True,6,Medium,False,3,False,48
p75qyz:6ud\,True,False,True,11,Medium,True,3,False,63
"N(!vOn""zF@>e>e9",True,True,True,15,Strong,True,4,True,100
"OmcV}*;:!dXh4,1",True,True,True,15,Strong,True,4,True,100
}7f@Dfa1wC,True,True,True,10,Strong,True,4,False,70
\rNo,True,True,True,4,Weak,False,3,False,42
UUH(d)ih%pic_V(,True,True,True,15,Strong,False,3,True,90
"!)\B,yMp.zWG4h>B",True,True,True,16,Strong,True,4,True,100
W[`McE2?$apA<D,True,True,True,14,Strong,True,4,True,97
c]k_S&d,True,True,True,7,Medium,False,3,False,51
7r$iG,True,True,True,5,Weak,True,4,False,55
kQp9<pS(R7KC0rY$,True,True,True,16,Strong,True,4,True,100
!\KF,False,True,True,4,Weak,False,2,False,32
"rZ,TkCSd{o_aO",True,True,True,13,Strong,False,3,True,84
K2U;Za3,True,True,True,7,Medium,True,4,False,61
8e^Qg,True,True,True,5,Weak,True,4,False,55
(jr#eVy,True,True,True,7,Medium,False,3,False,51
R*M;xn,True,True,True,6,Medium,False,3,False,48
U'#,False,True,True,3,Weak,False,2,False,29
;dTP3xwJwr),True,True,True,11,Strong,True,4,False,73
8a<wVc15b,True,True,True,9,Strong,True,4,False,67
KEtY(SD9V,True,True,True,9,Strong,True,4,False,67
WX7b'Yw,True,True,True,7,Medium,True,4,False,61
+Xiy).+]],True,True,True,9,Strong,False,3,False,57
j6_$Ty[*VL,True,True,True,10,Strong,True,4,False,70
",]b-Lp=",True,True,True,7,Medium,False,3,False,51
nI79i_6,True,True,True,7,Medium,True,4,False,61
~ue>p,True,False,True,5,Weak,False,2,False,35
KZQ'l6,True,True,True,6,Medium,True,4,False,58
~A](J\Xf}NL4-jfI,True,True,True,16,Strong,True,4,True,100
